Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-11-15,Now You See Me,2013,https://boxd.it/bIjKtP,4,,"they should make these forever, the amount of times i’ve watched this movie is ridiculous",,2025-11-14
2025-11-15,Jurassic World Rebirth,2025,https://boxd.it/bIm30V,1.5,Yes,everybody’s and i mean EVERYBODY is annoying and the repeated screaming of a character’s name after they were snatched or killed by a dinosaur is just insane lol.. i’ve never been so angry at watching a jurassic park movie,,2025-11-14
2025-11-15,Now You See Me 2,2016,https://boxd.it/bIupu5,3,,magical nonsense… give me five more!,,2025-11-14
2025-11-26,Thunderbolts*,2025,https://boxd.it/bQ8eCl,4,,florence pugh should be in every movie i think!,,2025-11-25
2025-11-26,The Fantastic 4: First Steps,2025,https://boxd.it/bQd0QD,4,,i feel like they all had very muted reactions to franklin *checks notes* bringing his mother back to life?? and reed definitely could’ve been a lot more creative with his superpowers like he should’ve been back handspringing across the city to get to franklin idk,,2025-11-25
2025-11-26,The Marvels,2023,https://boxd.it/bQnIfV,3,,this movie is over hated and for no reason at all! that post credit scene… i’m intrigued,,2025-11-25
2025-11-27,Spotlight,2015,https://boxd.it/bR0I0f,4,,"i’ll watch any investigative procedural with mark ruffalo.. there should be more actually! and that post credit scene was absolutely chilling, jesus.",,2025-11-26
2025-11-28,The Master,2012,https://boxd.it/bRCscv,3,,"i have no idea what i just watched but every performance was packed and woah was it beautifully shot! other movies dream of being this vibrant and colorful, more of them should be.",,2025-11-27
2025-11-30,Caught Stealing,2025,https://boxd.it/bSOcsF,4,,"that was fun, hate that yvonne had to die though.. but i do understand why she couldn’t resist the most obvious drunk loser who was in fact stuck in his past!",,2025-11-29
2025-12-01,Madame Web,2024,https://boxd.it/bTNe51,2,,obviously terrible movie but i was thinking about ben’s cheek filler in every scene… but the injections DOWN!,,2025-11-30
2025-12-02,First Daughter,2004,https://boxd.it/bUqEXB,2,,mother-daughter casting went crazy,,2025-12-01
2025-12-02,Me Before You,2016,https://boxd.it/bUti09,3,,don’t know what made me rewatch this horror movie,,2025-12-02
2025-12-08,Drive Me Crazy,1999,https://boxd.it/bYdpZ3,4,,invented the fake dating to dating to step-siblings trope,,2025-12-07
2025-12-11,Bride Hard,2025,https://boxd.it/c0mu4d,1.5,,"at least da’vine joy randolph was having fun, so good for her!",,2025-12-10
2025-12-13,Waiting to Exhale,1995,https://boxd.it/c1ObCP,5,Yes,so there’s this beautiful movie of all time.. i’ll forever be obsessed with the warmth of it and the sisterhood of it all! will definitely be rewatching for the new year!,,2025-12-12
2025-12-15,The Philadelphia Story,1940,https://boxd.it/c3p4oz,4.5,,so there’s this classic movie of all time! i loved this and see why it’s a lot of people’s favorite.,,2025-12-14
